Type,Month,Lesson,Must / Optional,Title,Sub Lessons
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,1,Essential,Intro to GWTH,"Welcome to GWTH
OpenAI's  6 Use Case Primitives
Intro to LLMs and AI powered Apps "
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,2,Essential,Setting Up Your AI Toolkit,"Comparing Some Basic Tools
Setting Up Tools You'll Need"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,3,Essential,Understanding AI Models and How They Work,"The Most Popular AI Use Cases for Individuals and Small Businesses
Test and document different LLMs"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,4,Essential,Prompt / Context Engineering Basics,"Prompt Engineering 101
Context is king Part 1
Write Instructions That Get Perfect AI Responses 
Metaprompting basics"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,5,Essential,"AI Safety, Ethics, and Best Practices","Trust but Verify
Essential Safety Practices for Every AI User
OpenAI Court Case relating to sycophancy - South Park"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,6,Essential,Research with AI - Fundamentals,"Which tools are best for research?
Build your AI Personal Research Assistant: Find Any Information in Minutes"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,7,Essential,Research with AI - Advanced Techniques,"Professional Research Techniques
Context is king Part 2
Multi-Source Investigation and Deep Analysis
Project - Researching the best school for your child"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,8,Essential,Research with AI - Verification and Sources,"Garbage In - Garbage Out is still relevant
Fact-Checking AI: How to Verify Information and Avoid Misinformation"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,9,Essential,Content Creation - Writing Basics,"Write Anything in Minutes: Blog Posts, Emails, and Reports with AI
Tools for individuals to make writing more efficient"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,10,Essential,Content Creation - Multimedia,"Create Images, Videos, and Audio Content with AI
Tools for individuals to make multimedia creation more efficient
Project - Using AI to fix photos
Project - AI-Generated Birthday Card
Project - AI-Generated Home Page Video"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,11,Essential,Data Analysis with AI - Basics,"Turn Numbers into Insights
Let AI Analyze Your Data in Plain English"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,12,Essential,Data Analysis with AI - Practical Applications,"Practical Analysis for Home and Work
Metaprompting Advanced - Using AI to ask you questions and recording your answers
Project - Planning for retirement"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,13,Essential,Ideation & Strategy Using AI,"Use AI for Brainstorming and Planning
Project - Planning a big holiday"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,14,Essential,Introduction to Coding with AI for individuals,"Write Code Without Knowing How to Code
Project - Your First AI-Generated Game
Project - Your First AI-Generated Time Saving App"
Lesson,Month 1: Foundations & AI for Individuals/Small Businesses,15,Optional,AI on your mobile (Optional),"Android - Fixing photos, writing messages, Assistant
Apple iOS - Fixing photos, writing messages, Assistant"
