Type,Month,Title,Domain,All Domains,Short Description
Capstone,1,Private Digital Family Hub / Standup Hub,familyaibot.com,"familyaibot.com, familymanager.net","Google family calendar with reminders, family meeting recording and generation of task list, calendar events, grocery shopping list, chore tracker, shared notes etc."
Capstone,2,AI Customer-Support Chatbot,askmyco.com,askmyco.com,"A chatbot based on company RAG — involves building the RAG, populating it with data and then adding the chatbot to their site and testing it."
Capstone,3,AI Readiness Voice Agent,askevery.one,"voicescope.io, askevery.one",Voice questionnaire to help with change including AI transformation. Combine AI voice agent interviews with a proprietary use-case database to generate enterprise AI roadmaps.
Smaller,1,Build a Superwhisper/Whisprflow Clone to Run Privately,lowhisper.com,lowhisper.com,Build a superwhisper or whisprflow clone to run privately.
Smaller,2,"Create, Launch & Distribute AI-Generated Sleep Music",talktosleep.com,"soporific.app, talktosleep.com","Create AI-generated sleep music tracks, album artwork, and a promotional website. Distribute to Spotify and other streaming platforms. Optional: AI voice narration for sleep stories."
Smaller,2,Marketing SEO for AI Bots,sitegeo.net,"pixelseo.co.uk, seoappsdirectory.com, sitegeo.net",SEO strategies for when most people are not using Google.
Smaller,1,Write Blog Posts with AI,blogbot.app,"blogbot.app, blogbuddy.co","Agents that write blog posts based on YouTube videos and tweets using Claude Code, Claude Skills, or n8n."
Smaller,3,AI Business Transformation Plan / Roadmap,productarchitect.dev,"aibusinesscoach.pro, transformation.diy, productarchitect.co.uk, productarchitect.dev","AI-powered tool that assesses a business's current state and generates a tailored AI transformation roadmap with prioritised use cases, timelines, and ROI estimates."
Smaller,1,Save Your Favourite Prompts and Share with Others,cheatprompt.dev,"aimasterprompt.net, aimasterprompt.store, aipromptsaver.com, cheatprompt.dev","A web app where users can save, organise, tag, and share their best AI prompts with a community — like a prompt library/marketplace."
Smaller,3,Company RAG for Transcripts,aitranscriptionhub.com,aitranscriptionhub.com,RAG for transcripts.
Smaller,1,Research and Comparison Website,bestrobotmop.com,bestrobotmop.com,"AI-powered research and comparison website for a specific product niche (e.g. robot mops) — aggregates reviews, specs, and pricing to help users make informed buying decisions."
Smaller,1,Repo for Accomplishments at Work,bragmanager.com,bragmanager.com,"A personal repository to log, organise, and showcase professional accomplishments, wins, and impact — useful for performance reviews, promotions, and CV updates."
Smaller,2,Medical Research and Website for C. Diff,cdiffguide.com,cdiffguide.com,"AI-driven medical research aggregator and informational website focused on C. difficile infection — summarises latest studies, treatments, and patient guidance."
Smaller,2,Law Research for Employment Law,employmentlawbuddy.com,employmentlawbuddy.com,"AI-powered legal research tool focused on employment law — helps users understand their rights, search case law, and get plain-language guidance on workplace issues."
Smaller,1,Blog Site,eyeonai.dev,eyeonai.dev,"A blog site covering AI news, trends, and developments — content generated or assisted by AI tools to maintain a regular publishing cadence."
Smaller,1,Research and Deck Creation,firstcalldeck.com,firstcalldeck.com,AI tool that researches a given topic and automatically generates a professional slide deck/presentation — from research to polished output in one workflow.
Smaller,1,Personal Goal Planning,goalsfor.me,goalsfor.me,"AI-assisted personal goal planning app — helps users define goals, break them into milestones, track progress, and stay accountable with nudges and reflections."
Smaller,1,Agent to Help with Grocery Shopping,groceryshoppingagent.com,groceryshoppingagent.com,"AI agent that builds grocery shopping lists from meal plans, finds deals, compares prices across stores, and integrates with the Family Hub (familyaibot.com)."
Smaller,2,Log Your Health,healthlog.app,healthlog.app,"Health logging app where users track symptoms, medications, vitals, and wellness data — AI provides insights, trends, and summaries to share with healthcare providers."
Smaller,2,Whiteboard Sharing for Hybrid Meetings,whiteboard.bot,"hybridwb.com, whiteboard.bot, whiteboard.show",App that captures a physical whiteboard via camera and shares it live with online meeting attendees — bridging in-room and remote collaboration in hybrid meetings.
Smaller,3,Planning Ideas for Transformation,ideagrading.com,"ideagrading.com, primeusecase.com","AI tool to brainstorm, evaluate, and rank transformation ideas — scores initiatives on feasibility, impact, and effort to help teams prioritise their transformation backlog."
Smaller,1,Agent to Help with Grocery Shopping from Recipes,recipeunboxed.com,recipeunboxed.com,"AI agent that extracts ingredients from recipes and generates organised grocery lists — part of the familyaibot ecosystem, streamlining meal prep to shopping."
Smaller,2,Financial App for Share Recommendations,sharetrajectory.com,"sharetrajectory.com, sharepies.com, stocktrajectory.com","AI-powered financial app that analyses share/stock data and provides buy/hold/sell recommendations with supporting rationale, charts, and risk assessments."
Smaller,2,Planning Holidays and Events for a Travel Agent,"stagsguide.co.uk, hensguide.co.uk","stagsguide.co.uk, hensguide.co.uk","AI-powered travel planning tool for a travel agent — helps plan holidays, stag/hen events, and group trips with itineraries, budgets, and booking suggestions."
Smaller,2,Video CV,myvideo.cv,"vividcv.com, vividprofile.com, myvideo.cv, govideo.cv","Takes a CV and recreates it as a video — service with payments, analytics, and backend. User reads a script and can add video of themselves being interviewed by an AI voice, plus screenshots or photos."
