id,slug,title
m1_l01,welcome-to-gwth-six-ways-ai-can-give-you-superpowers,Welcome to GWTH Six Ways AI Can Give You Superpowers
m1_l02,your-ai-colleague-how-to-get-brilliant-help-without-giving-up-your-judgement,Your AI Colleague How to Get Brilliant Help Without Giving Up Your Judgement
m1_l03,how-ai-works-the-useful-bits-that-make-you-better-at-it,How AI Works: The Useful Bits That Make You Better At It
m1_l04,the-ai-tooling-landscape-where-ai-shows-up-in-real-life,The AI Tooling Landscape: Where AI Shows Up in Real Life
m1_l05,frontier-labs-tooling-openai-anthropic-google-and-what-to-use-when,Frontier Labs Tooling OpenAI Anthropic Google and What to Use When
m1_l06,research-superpower-find-compare-and-verify-anything,Research Superpower Find Compare and Verify Anything
m1_l07,content-superpower-write-design-and-communicate-in-your-voice,Content Superpower Write Design and Communicate in Your Voice
m1_l08,thinking-superpower-plan-decide-and-learn-faster,Thinking Superpower Plan Decide and Learn Faster
m1_l09,building-superpower-make-your-first-useful-thing-without-coding,Building Superpower Make Your First Useful Thing Without Coding
m1_l10,data-superpower-turn-messy-information-into-answers,Data Superpower Turn Messy Information Into Answers
m1_l11,automation-superpower-save-time-by-connecting-repeatable-steps,Automation Superpower Save Time by Connecting Repeatable Steps
m1_l12,agents-superpower-ai-that-can-do-things-for-you,Agents Superpower AI That Can Do Things for You
m1_l13,agent-safety-how-to-stay-in-control,Agent Safety How to Stay in Control
m1_l14,cv-and-linkedin-upgrade-tell-your-story-better-with-ai,CV and LinkedIn Upgrade Tell Your Story Better with AI
m1_l15,job-search-and-interview-confidence-with-ai,Job Search and Interview Confidence with AI
m1_l16,ai-presentations-and-websites-make-ideas-visible,AI Presentations and Websites Make Ideas Visible
m1_l17,ai-data-dashboards-turn-numbers-into-decisions,AI Data Dashboards Turn Numbers Into Decisions
m1_l18,ai-power-tools-mcps-clis-skills-plugins-and-connectors,AI Power Tools MCPs CLIs Skills Plugins and Connectors
m1_l19,choosing-your-coding-tool-a-framework-that-outlives-the-names,Choosing Your Coding Tool: A Framework That Outlives the Names
m1_l20,ai-efficiency-better-results-for-less-cost,AI Efficiency Better Results for Less Cost
m1_l21,familybot-blueprint-design-a-helpful-ai-for-home-life,FamilyBot Blueprint Design a Helpful AI for Home Life
m1_l22,familybot-listens-turn-voice-notes-or-meetings-into-useful-text,FamilyBot Listens Turn Voice Notes or Meetings Into Useful Text
m1_l23,familybot-organises-extract-tasks-meals-events-and-shopping,FamilyBot Organises Extract Tasks Meals Events and Shopping
m1_l24,familybot-shares-make-the-outputs-useful-for-real-life,FamilyBot Shares Make the Outputs Useful for Real Life
m1_l25,month-1-portfolio-show-what-you-can-now-do-with-ai,Month 1 Portfolio Show What You Can Now Do with AI
m1_l26,month-1-review-your-next-step-toward-month-2,Month 1 Review Your Next Step Toward Month 2
